Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;504500.000000;Hz
Freq Offset;0.000000;Hz
Span;991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;1000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;11.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
32784;-73.70782470703125;-98.860443115234375
33279.5;-72.91046142578125;-96.091766357421875
33775;-77.495368957519531;-86.821052551269531
34270.5;-74.087104797363281;-111.49884796142578
34766;-73.256568908691406;-81.998764038085938
35261.5;-66.238349914550781;-75.2059326171875
35757;-69.746849060058594;-90.84124755859375
36252.5;-76.878494262695312;-82.072586059570313
36748;-77.055427551269531;-92.886863708496094
37243.5;-77.233047485351562;-83.7490234375
37739;-74.452377319335938;-107.12390899658203
38234.5;-73.711822509765625;-102.58666229248047
38730;-75.528732299804687;-84.4024658203125
39225.5;-79.2900390625;-94.08251953125
39721;-80.473838806152344;-87.511634826660156
40216.5;-72.644744873046875;-80.174163818359375
40712;-72.668403625488281;-89.322822570800781
41207.5;-80.811279296875;-113.31427001953125
41703;-77.069503784179687;-108.00798797607422
42198.5;-76.495986938476563;-101.43651580810547
42694;-80.275459289550781;-86.699241638183594
43189.5;-70.653587341308594;-90.581527709960937
43685;-72.072540283203125;-84.206695556640625
44180.5;-76.273567199707031;-96.065582275390625
44676;-76.395462036132813;-86.979423522949219
45171.5;-72.647918701171875;-85.549636840820313
45667;-72.417091369628906;-85.681526184082031
46162.5;-79.698982238769531;-87.244293212890625
46658;-77.513893127441406;-88.215179443359375
47153.5;-76.687095642089844;-82.483131408691406
47649;-72.266876220703125;-80.069068908691406
48144.5;-74.636726379394531;-88.268287658691406
48640;-76.320289611816406;-84.457252502441406
49135.5;-76.168685913085938;-98.795761108398438
49631;-72.0794677734375;-77.58087158203125
50126.5;-75.76190185546875;-91.126731872558594
50622;-73.316184997558594;-88.549827575683594
51117.5;-76.424293518066406;-85.41204833984375
51613;-72.988273620605469;-84.989936828613281
52108.5;-74.571319580078125;-86.897148132324219
52604;-76.44940185546875;-88.671745300292969
53099.5;-76.988876342773438;-91.085365295410156
53595;-72.644744873046875;-83.577224731445313
54090.5;-77.30572509765625;-87.39715576171875
54586;-75.359329223632813;-96.488845825195313
55081.5;-79.588455200195313;-98.200790405273438
55577;-71.92877197265625;-80.811279296875
56072.5;-75.047294616699219;-94.39178466796875
56568;-78.611549377441406;-92.376296997070313
57063.5;-79.699775695800781;-86.306259155273438
57559;-77.832267761230469;-95.238197326660156
58054.5;-76.8876953125;-86.357406616210937
58550;-75.438270568847656;-93.003700256347656
59045.5;-73.642303466796875;-96.213249206542969
59541;-78.625579833984375;-89.029487609863281
60036.5;-73.44903564453125;-87.521408081054688
60532;-73.420066833496094;-102.60884094238281
61027.5;-72.233848571777344;-72.233848571777344
61523;-74.681648254394531;-80.332527160644531
62018.5;-77.6014404296875;-77.6014404296875
62514;-77.855369567871094;-87.521408081054688
63009.5;-76.486099243164063;-82.604393005371094
63505;-70.311538696289063;-80.831161499023437
64000.5;-74.29742431640625;-80.582229614257813
64496;-68.403587341308594;-77.605804443359375
64991.5;-76.535087585449219;-76.535087585449219
65487;-67.64984130859375;-77.656532287597656
65982.5;-68.367301940917969;-92.989006042480469
66478;-80.515640258789063;-89.861289978027344
66973.5;-74.47064208984375;-93.522468566894531
67469;-71.720184326171875;-91.858573913574219
67964.5;-72.835517883300781;-92.608482360839844
68460;-77.468902587890625;-99.812545776367188
68955.5;-68.711349487304688;-94.743843078613281
69451;-69.992584228515625;-91.8779296875
69946.5;-70.252693176269531;-70.252693176269531
70442;-74.068809509277344;-103.05319976806641
70937.5;-68.287269592285156;-99.637222290039063
71433;-70.280853271484375;-81.051170349121094
71928.5;-73.504150390625;-83.137771606445313
72424;-73.428550720214844;-108.41007995605469
72919.5;-75.970924377441406;-102.60884094238281
73415;-72.393417358398438;-109.29880523681641
73910.5;-74.063407897949219;-81.586280822753906
74406;-75.689491271972656;-85.632621765136719
74901.5;-76.8739013671875;-85.967811584472656
75397;-73.827438354492188;-97.587715148925781
75892.5;-73.935615539550781;-84.63916015625
76388;-74.859138488769531;-103.93852233886719
76883.5;-76.666900634765625;-88.386299133300781
77379;-83.694732666015625;-95.946136474609375
77874.5;-74.332473754882813;-99.975051879882813
78370;-78.52227783203125;-112.17350769042969
78865.5;-75.503700256347656;-101.59320068359375
79361;-74.395668029785156;-85.613754272460938
79856.5;-74.573959350585938;-82.651145935058594
80352;-76.722557067871094;-81.877449035644531
80847.5;-77.079490661621094;-83.296211242675781
81343;-77.946449279785156;-91.379119873046875
81838.5;-76.6966552734375;-98.911094665527344
82334;-72.62677001953125;-83.326324462890625
82829.5;-73.015464782714844;-107.08663177490234
83325;-81.500801086425781;-111.56089019775391
83820.5;-71.578025817871094;-83.970947265625
84316;-75.969375610351563;-91.816787719726563
84811.5;-79.726837158203125;-95.592376708984375
85307;-76.206871032714844;-105.540283203125
85802.5;-86.607231140136719;-94.627845764160156
86298;-76.844680786132813;-93.946258544921875
86793.5;-75.662994384765625;-83.735107421875
87289;-74.981971740722656;-93.363937377929688
87784.5;-77.68988037109375;-93.636367797851563
88280;-81.986351013183594;-92.99267578125
88775.5;-79.3922119140625;-87.6217041015625
89271;-77.334732055664063;-86.2706298828125
89766.5;-78.891525268554688;-87.663345336914063
90262;-78.988357543945313;-93.4293212890625
90757.5;-79.554794311523438;-84.965133666992188
91253;-80.034309387207031;-92.912284851074219
91748.5;-77.600822448730469;-83.383209228515625
92244;-77.308746337890625;-87.848159790039063
92739.5;-75.496353149414063;-96.412315368652344
93235;-77.338363647460938;-97.378410339355469
