Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;504500.000000;Hz
Freq Offset;0.000000;Hz
Span;991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;1000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;11.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
32784;-74.965362548828125;-83.154319763183594
33279.5;-72.428428649902344;-89.972076416015625
33775;-74.696372985839844;-93.4525146484375
34270.5;-74.847763061523438;-89.390457153320313
34766;-75.623634338378906;-82.550163269042969
35261.5;-69.667884826660156;-82.746543884277344
35757;-69.988426208496094;-87.739204406738281
36252.5;-72.558059692382812;-92.84344482421875
36748;-69.165458679199219;-78.994941711425781
37243.5;-76.004096984863281;-97.439453125
37739;-80.360786437988281;-88.596183776855469
38234.5;-77.647743225097656;-89.683914184570313
38730;-77.706291198730469;-97.30572509765625
39225.5;-78.260513305664063;-109.97207641601562
39721;-73.644287109375;-87.903152465820313
40216.5;-78.634010314941406;-87.032867431640625
40712;-75.58050537109375;-89.270050048828125
41207.5;-74.611473083496094;-82.543548583984375
41703;-74.139732360839844;-86.600196838378906
42198.5;-73.531059265136719;-86.306259155273438
42694;-73.269821166992188;-81.877449035644531
43189.5;-75.790229797363281;-87.81573486328125
43685;-77.299697875976562;-94.650039672851563
44180.5;-76.454322814941406;-99.740394592285156
44676;-75.059394836425781;-89.93585205078125
45171.5;-72.842369079589844;-81.64373779296875
45667;-74.29571533203125;-87.240509033203125
46162.5;-75.397010803222656;-82.315071105957031
46658;-72.733016967773438;-82.004981994628906
47153.5;-73.311607360839844;-80.366783142089844
47649;-76.8087158203125;-113.94625091552734
48144.5;-76.782554626464844;-88.978462219238281
48640;-75.9512939453125;-86.179679870605469
49135.5;-75.764427185058594;-91.72747802734375
49631;-76.305221557617188;-94.095016479492188
50126.5;-76.860137939453125;-92.090385437011719
50622;-78.638229370117188;-89.66387939453125
51117.5;-73.043113708496094;-87.016242980957031
51613;-73.321136474609375;-88.369026184082031
52108.5;-78.960578918457031;-87.98114013671875
52604;-79.657760620117187;-109.4439697265625
53099.5;-78.592643737792969;-92.782325744628906
53595;-75.866035461425781;-88.341049194335937
54090.5;-74.217582702636719;-83.485816955566406
54586;-77.410713195800781;-106.18637084960937
55081.5;-75.178977966308594;-95.430488586425781
55577;-73.122871398925781;-101.58332061767578
56072.5;-72.983505249023438;-82.55126953125
56568;-77.980934143066406;-107.68324279785156
57063.5;-76.416671752929688;-91.711624145507812
57559;-76.150718688964844;-101.66265106201172
58054.5;-74.771286010742188;-84.660232543945313
58550;-75.18133544921875;-94.994430541992188
59045.5;-71.968490600585937;-90.690681457519531
59541;-72.800971984863281;-86.326683044433594
60036.5;-73.67718505859375;-83.5054931640625
60532;-75.371871948242188;-92.99267578125
61027.5;-79.649078369140625;-121.58331298828125
61523;-77.542976379394531;-86.231773376464844
62018.5;-76.516342163085938;-92.647209167480469
62514;-82.40899658203125;-113.31427001953125
63009.5;-81.541961669921875;-116.28266906738281
63505;-74.995826721191406;-90.609382629394531
64000.5;-73.572166442871094;-78.988357543945313
64496;-74.973197937011719;-83.841972351074219
64991.5;-75.065452575683594;-90.462745666503906
65487;-74.560317993164063;-100.27545928955078
65982.5;-77.175811767578125;-77.175811767578125
66478;-78.52227783203125;-85.905899047851563
66973.5;-77.952301025390625;-89.354156494140625
67469;-76.691032409667969;-88.405754089355469
67964.5;-77.471977233886719;-83.071922302246094
68460;-78.1767578125;-86.096305847167969
68955.5;-80.1724853515625;-91.730644226074219
69451;-74.161125183105469;-86.121231079101563
69946.5;-74.483261108398438;-89.405021667480469
70442;-75.807975769042969;-97.0736083984375
70937.5;-71.404159545898438;-97.372329711914063
71433;-74.922630310058594;-91.667388916015625
71928.5;-77.862449645996094;-106.42436218261719
72424;-77.572776794433594;-109.76708984375
72919.5;-81.866226196289063;-103.08834075927734
73415;-76.537849426269531;-109.22711944580078
73910.5;-79.728431701660156;-97.366249084472656
74406;-79.43218994140625;-89.020187377929688
74901.5;-79.552444458007813;-93.114669799804687
75397;-78.357330322265625;-104.29524993896484
75892.5;-74.358642578125;-81.460800170898437
76388;-78.835235595703125;-83.941108703613281
76883.5;-79.31585693359375;-97.650253295898437
77379;-78.130867004394531;-92.291229248046875
77874.5;-80.363349914550781;-96.065582275390625
78370;-76.434661865234375;-86.970245361328125
78865.5;-76.353195190429687;-76.353195190429687
79361;-75.914215087890625;-83.670852661132813
79856.5;-75.780097961425781;-88.547637939453125
80352;-76.635574340820312;-102.43291473388672
80847.5;-78.388015747070313;-86.504005432128906
81343;-78.183425903320313;-93.983207702636719
81838.5;-76.309524536132813;-76.309524536132813
82334;-77.558479309082031;-91.079475402832031
82829.5;-77.093017578125;-108.80899810791016
83325;-76.894012451171875;-90.291610717773438
83820.5;-76.118560791015625;-81.618927001953125
84316;-80.538360595703125;-91.129684448242188
84811.5;-78.021453857421875;-97.114814758300781
85307;-75.326126098632813;-89.092514038085938
85802.5;-75.11358642578125;-87.619728088378906
86298;-80.595436096191406;-89.246170043945313
86793.5;-79.430648803710938;-87.339515686035156
87289;-77.539878845214844;-84.587394714355469
87784.5;-77.516357421875;-102.65338134765625
88280;-79.091461181640625;-87.381744384765625
88775.5;-80.518257141113281;-110.36997985839844
89271;-79.030189514160156;-90.0423583984375
89766.5;-74.901107788085937;-102.10188293457031
90262;-81.432632446289062;-105.64993286132812
90757.5;-78.725868225097656;-107.29367065429687
91253;-76.637245178222656;-87.138877868652344
91748.5;-76.935531616210937;-90.348281860351563
92244;-78.762168884277344;-89.77215576171875
92739.5;-78.970802307128906;-89.537185668945313
93235;-75.687484741210938;-84.777778625488281
