s,CH1[V]
-4.576E-01,9.17E-01
-4.572E-01,-1.20E+00
-4.572E-01,1.26E+00
-4.568E-01,-1.24E+00
-4.568E-01,5.37E-01
-4.564E-01,-1.18E+00
-4.564E-01,1.30E+00
-4.560E-01,-1.28E+00
-4.560E-01,8.37E-01
-4.556E-01,-5.83E-01
-4.556E-01,1.26E+00
-4.552E-01,-1.18E+00
-4.552E-01,1.26E+00
-4.548E-01,-5.83E-01
-4.548E-01,1.24E+00
-4.544E-01,-1.22E+00
-4.544E-01,1.28E+00
-4.540E-01,-1.20E+00
-4.540E-01,1.24E+00
-4.536E-01,-1.02E+00
-4.536E-01,3.17E-01
-4.532E-01,-7.63E-01
-4.532E-01,1.26E+00
-4.528E-01,-1.26E+00
-4.528E-01,4.17E-01
-4.524E-01,-6.03E-01
-4.524E-01,1.24E+00
-4.520E-01,-6.03E-01
-4.520E-01,1.14E+00
-4.516E-01,-9.43E-01
-4.516E-01,1.32E+00
-4.512E-01,-8.43E-01
-4.512E-01,1.26E+00
-4.508E-01,-8.03E-01
-4.508E-01,1.34E+00
-4.504E-01,-1.18E+00
-4.504E-01,1.26E+00
-4.500E-01,-9.63E-01
-4.500E-01,1.08E+00
-4.496E-01,-1.20E+00
-4.496E-01,1.26E+00
-4.492E-01,-9.23E-01
-4.492E-01,1.26E+00
-4.488E-01,-7.03E-01
-4.488E-01,1.02E+00
-4.484E-01,-7.63E-01
-4.484E-01,6.37E-01
-4.480E-01,-1.18E+00
-4.480E-01,1.24E+00
-4.476E-01,-1.02E+00
-4.476E-01,1.22E+00
-4.472E-01,-5.43E-01
-4.472E-01,1.32E+00
-4.468E-01,-5.83E-01
-4.468E-01,1.14E+00
-4.464E-01,-1.24E+00
-4.464E-01,1.02E+00
-4.460E-01,-1.12E+00
-4.460E-01,1.08E+00
-4.456E-01,-5.83E-01
-4.456E-01,1.26E+00
-4.452E-01,-1.26E+00
-4.452E-01,8.37E-01
-4.448E-01,-1.24E+00
