Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;504500.000000;Hz
Freq Offset;0.000000;Hz
Span;991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;1000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;11.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
147740;-73.608352661132813;-102.36785888671875
148235.5;-77.06304931640625;-108.62944030761719
148731;-74.9322509765625;-86.822853088378906
149226.5;-75.739715576171875;-92.686103820800781
149722;-80.849288940429687;-94.570426940917969
150217.5;-77.194259643554688;-114.32305145263672
150713;-79.779594421386719;-101.66265106201172
151208.5;-78.424301147460938;-91.165313720703125
151704;-76.858993530273438;-93.695877075195313
152199.5;-76.697219848632813;-90.84124755859375
152695;-79.144218444824219;-88.198249816894531
153190.5;-75.160110473632813;-92.941429138183594
153686;-75.495864868164063;-90.910301208496094
154181.5;-79.2862548828125;-115.22394561767578
154677;-75.453849792480469;-92.080459594726563
155172.5;-74.471511840820313;-86.6177978515625
155668;-78.766448974609375;-87.649444580078125
156163.5;-81.573448181152344;-104.39017486572266
156659;-76.284820556640625;-88.843070983886719
157154.5;-77.656532287597656;-103.36259460449219
157650;-77.589591979980469;-90.83837890625
158145.5;-80.257644653320312;-91.327445983886719
158641;-75.664482116699219;-85.436614990234375
159136.5;-76.779716491699219;-90.687858581542969
159632;-82.019500732421875;-96.363471984863281
160127.5;-78.710968017578125;-78.710968017578125
160623;-78.58355712890625;-84.152122497558594
161118.5;-77.917282104492188;-91.382171630859375
161614;-76.025413513183594;-76.025413513183594
162109.5;-76.970870971679687;-86.479690551757812
162605;-74.809669494628906;-87.617752075195313
163100.5;-76.078666687011719;-85.825103759765625
163596;-83.198196411132813;-107.96672058105469
164091.5;-80.135650634765625;-101.25405120849609
164587;-78.559829711914063;-93.272468566894531
165082.5;-75.484115600585937;-85.741851806640625
165578;-75.375740051269531;-90.628944396972656
166073.5;-77.395462036132812;-85.949844360351563
166569;-78.171417236328125;-101.52429962158203
167064.5;-79.561042785644531;-117.93087768554687
167560;-72.71343994140625;-95.474342346191406
168055.5;-74.472381591796875;-108.28108215332031
168551;-77.694931030273437;-87.745216369628906
169046.5;-77.556007385253906;-85.905899047851563
169542;-75.213043212890625;-96.255905151367188
170037.5;-81.753768920898437;-97.061874389648438
170533;-77.492286682128906;-89.055107116699219
171028.5;-74.393943786621094;-85.729118347167969
171524;-74.605728149414063;-83.331153869628906
172019.5;-76.023323059082031;-81.028915405273438
172515;-74.357353210449219;-81.4578857421875
173010.5;-76.643959045410156;-100.19097137451172
173506;-76.280525207519531;-89.874099731445312
174001.5;-78.097763061523438;-89.551994323730469
174497;-77.085960388183594;-98.114303588867187
174992.5;-84.31280517578125;-113.01472473144531
175488;-76.112777709960937;-102.55348205566406
175983.5;-76.504776000976563;-91.592071533203125
176479;-80.962501525878906;-101.88459777832031
176974.5;-78.02734375;-92.775154113769531
177470;-76.715789794921875;-93.933967590332031
177965.5;-82.926704406738281;-90.118492126464844
178461;-78.487655639648438;-105.87348175048828
178956.5;-77.521926879882813;-102.72062683105469
179452;-74.255714416503906;-102.66455841064453
179947.5;-75.633087158203125;-84.888259887695313
180443;-77.766510009765625;-92.407127380371094
180938.5;-77.861152648925781;-111.62338256835937
181434;-79.679939270019531;-102.11237335205078
181929.5;-80.504295349121094;-94.417694091796875
182425;-74.100440979003906;-96.604911804199219
182920.5;-74.935470581054687;-94.301681518554688
183416;-77.756973266601563;-95.1907958984375
183911.5;-76.122764587402344;-83.941108703613281
184407;-77.536155700683594;-86.994140625
184902.5;-77.45233154296875;-93.632415771484375
185398;-79.259017944335937;-92.345573425292969
185893.5;-75.707038879394531;-89.704002380371094
186389;-78.194107055664063;-89.253326416015625
186884.5;-77.651512145996094;-88.897895812988281
187380;-77.383888244628906;-84.198684692382812
187875.5;-81.025215148925781;-89.646377563476562
188371;-73.385040283203125;-107.66333770751953
188866.5;-79.050804138183594;-90.310455322265625
189362;-77.360786437988281;-89.083145141601563
189857.5;-77.077133178710938;-88.833976745605469
190353;-75.539558410644531;-88.578498840332031
190848.5;-80.884735107421875;-87.240509033203125
191344;-76.511932373046875;-104.54148101806641
191839.5;-76.554428100585937;-86.109588623046875
192335;-76.322441101074219;-89.076133728027344
192830.5;-76.307914733886719;-88.884162902832031
193326;-75.4183349609375;-84.742210388183594
193821.5;-79.087013244628906;-100.34365081787109
194317;-75.673477172851563;-93.151992797851563
194812.5;-77.894660949707031;-99.780403137207031
195308;-80.496452331542969;-89.139511108398438
195803.5;-75.72210693359375;-83.420936584472656
196299;-77.126045227050781;-91.664230346679688
196794.5;-76.587135314941406;-85.694190979003906
197290;-76.427566528320312;-109.37108612060547
197785.5;-76.192535400390625;-81.559661865234375
198281;-80.220443725585937;-85.425849914550781
198776.5;-73.244461059570313;-87.464881896972656
199272;-76.751945495605469;-106.81202697753906
199767.5;-75.890090942382812;-97.457839965820313
200263;-74.841400146484375;-93.283843994140625
200758.5;-73.508049011230469;-80.275459289550781
201254;-78.424301147460938;-85.660980224609375
201749.5;-82.19775390625;-82.19775390625
202245;-74.922630310058594;-87.263252258300781
202740.5;-77.413764953613281;-91.461830139160156
203236;-78.408538818359375;-89.972076416015625
203731.5;-71.231010437011719;-87.374053955078125
204227;-77.71197509765625;-86.979423522949219
204722.5;-78.158775329589844;-93.325714111328125
205218;-75.769477844238281;-89.744331359863281
205713.5;-75.599319458007812;-89.2247314453125
206209;-77.24981689453125;-107.19895172119141
206704.5;-77.77032470703125;-87.244293212890625
207200;-83.45025634765625;-97.513267517089844
207695.5;-79.216079711914063;-93.276260375976563
208191;-76.769500732421875;-86.141227722167969
208686.5;-79.067787170410156;-91.428031921386719
209182;-78.335563659667969;-99.550880432128906
209677.5;-73.0228271484375;-82.49407958984375
210173;-77.102439880371094;-85.438156127929688
210668.5;-77.792625427246094;-101.26355743408203
211164;-77.570297241210937;-103.26621246337891
211659.5;-79.272628784179688;-102.92554473876953
212155;-78.335563659667969;-84.752143859863281
212650.5;-75.812034606933594;-87.246185302734375
213146;-75.673477172851563;-84.991401672363281
213641.5;-76.4019775390625;-92.897743225097656
214137;-74.619438171386719;-84.397010803222656
214632.5;-74.676742553710938;-84.204017639160156
215128;-77.627693176269531;-93.783897399902344
215623.5;-77.483055114746094;-85.022140502929688
216119;-83.138961791992188;-97.924400329589844
216614.5;-79.952117919921875;-89.943595886230469
217110;-76.954048156738281;-86.189735412597656
217605.5;-73.3946533203125;-87.198951721191406
218101;-77.221092224121094;-88.902473449707031
218596.5;-76.602691650390625;-102.30328369140625
219092;-74.921257019042969;-87.326126098632813
219587.5;-82.93707275390625;-99.064826965332031
220083;-79.539169311523438;-99.449928283691406
220578.5;-78.294914245605469;-89.2342529296875
221074;-77.858589172363281;-93.133308410644531
221569.5;-78.820854187011719;-93.394645690917969
222065;-79.100357055664063;-95.722099304199219
222560.5;-78.525749206542969;-90.612174987792969
223056;-76.692718505859375;-83.338394165039063
223551.5;-72.754776000976562;-89.938430786132813
224047;-74.909339904785156;-100.12396240234375
224542.5;-77.039031982421875;-110.73020935058594
225038;-79.710914611816406;-106.83007049560547
225533.5;-74.586296081542969;-98.200790405273438
226029;-72.842010498046875;-92.52459716796875
226524.5;-81.079994201660156;-92.552474975585937
227020;-78.313186645507813;-88.276824951171875
227515.5;-73.439369201660156;-86.088005065917969
228011;-73.011054992675781;-90.211280822753906
228506.5;-79.608085632324219;-105.95473480224609
229002;-76.795631408691406;-99.828659057617188
229497.5;-75.446533203125;-92.338768005371094
229993;-79.388374328613281;-98.074661254882813
230488.5;-79.373825073242188;-86.942764282226563
230984;-75.541534423828125;-97.40887451171875
231479.5;-74.442825317382813;-84.479270935058594
231975;-80.666191101074219;-90.313156127929687
232470.5;-85.456634521484375;-96.599357604980469
232966;-81.259750366210937;-89.289207458496094
233461.5;-78.714515686035156;-92.569938659667969
233957;-80.531356811523438;-108.34534454345703
234452.5;-74.5440673828125;-86.299453735351563
234948;-73.720993041992188;-85.764183044433594
235443.5;-82.873863220214844;-82.873863220214844
235939;-79.047119140625;-96.390571594238281
236434.5;-77.936073303222656;-85.697364807128906
236930;-75.271072387695312;-85.509208679199219
237425.5;-79.392982482910156;-107.98733520507812
237921;-76.004096984863281;-84.350730895996094
238416.5;-75.953872680664062;-93.036842346191406
238912;-74.812385559082031;-84.334457397460938
239407.5;-80.346214294433594;-85.408973693847656
239903;-78.357330322265625;-85.3707275390625
240398.5;-78.905288696289063;-88.366874694824219
240894;-80.662643432617187;-89.8026123046875
241389.5;-75.53070068359375;-91.035408020019531
241885;-80.069068908691406;-123.69599151611328
242380.5;-77.847023010253906;-94.916206359863281
242876;-81.447189331054688;-95.017578125
243371.5;-78.960578918457031;-92.203620910644531
243867;-78.631912231445313;-87.12017822265625
244362.5;-81.25689697265625;-104.70960998535156
244858;-76.510833740234375;-84.475135803222656
245353.5;-79.68865966796875;-117.36624908447266
245849;-75.982315063476562;-100.52525329589844
246344.5;-74.970893859863281;-112.68965148925781
246840;-79.952117919921875;-95.81304931640625
247335.5;-79.240913391113281;-85.992378234863281
247831;-76.172927856445312;-94.065895080566406
248326.5;-88.047370910644531;-102.73188781738281
248822;-78.471084594726563;-90.693496704101563
249317.5;-74.577476501464844;-105.77696990966797
249813;-77.77923583984375;-77.77923583984375
250308.5;-76.097015380859375;-81.355369567871094
250804;-81.830604553222656;-104.40383148193359
251299.5;-83.024017333984375;-104.82352447509766
251795;-74.898818969726562;-94.396102905273438
252290.5;-73.885421752929688;-86.353988647460938
252786;-72.976905822753906;-87.956443786621094
253281.5;-85.03387451171875;-98.424301147460938
253777;-75.229652404785156;-83.684669494628906
254272.5;-76.3775634765625;-85.181976318359375
254768;-81.170822143554688;-89.547050476074219
255263.5;-73.119895935058594;-81.237907409667969
255759;-81.792091369628906;-97.650253295898437
256254.5;-77.424758911132813;-87.045814514160156
256750;-78.138168334960937;-95.833396911621094
257245.5;-77.812423706054687;-90.050209045410156
257741;-78.054267883300781;-89.982444763183594
258236.5;-75.857872009277344;-82.66790771484375
258732;-73.349006652832031;-86.621322631835938
259227.5;-76.785400390625;-85.201423645019531
259723;-80.43829345703125;-98.355964660644531
260218.5;-75.050086975097656;-83.856071472167969
260714;-75.251052856445313;-91.532913208007812
261209.5;-77.561592102050781;-93.189453125
261705;-72.742286682128906;-83.14959716796875
262200.5;-74.968597412109375;-83.952774047851563
262696;-74.987968444824219;-93.49908447265625
263191.5;-73.705841064453125;-99.764373779296875
263687;-74.277816772460938;-83.747756958007813
264182.5;-77.675399780273438;-96.853263854980469
264678;-80.546234130859375;-109.76708984375
265173.5;-79.900733947753906;-92.703842163085938
265669;-80.012863159179688;-108.45351409912109
266164.5;-76.385147094726563;-90.968269348144531
266660;-79.823013305664063;-107.9461669921875
267155.5;-80.486007690429688;-93.759803771972656
267651;-76.418853759765625;-76.418853759765625
268146.5;-78.063468933105469;-87.133262634277344
268642;-76.601028442382813;-93.632415771484375
269137.5;-76.830398559570312;-98.625587463378906
269633;-76.110671997070312;-84.390182495117187
270128.5;-77.615806579589844;-89.792449951171875
270624;-79.597877502441406;-90.642929077148438
271119.5;-80.476448059082031;-92.905006408691406
271615;-78.472457885742187;-84.113739013671875
272110.5;-77.194854736328125;-84.375198364257813
272606;-77.190681457519531;-106.28757476806641
273101.5;-79.592384338378906;-101.21611785888672
273597;-79.645912170410156;-108.36686706542969
274092.5;-80.329971313476563;-108.83170318603516
274588;-80.449554443359375;-101.2066650390625
275083.5;-78.316574096679688;-93.018409729003906
275579;-76.860137939453125;-87.189544677734375
276074.5;-76.447761535644531;-107.60391235351562
276570;-74.1754150390625;-87.501876831054688
277065.5;-75.838996887207031;-105.97107696533203
277561;-80.846572875976563;-99.788429260253906
