Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;5004500.000000;Hz
Freq Offset;0.000000;Hz
Span;9991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;10000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;110.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
248784;-71.2373046875;-105.24945068359375
253779.5;-70.74493408203125;-119.72444152832031
258775;-62.67529296875;-109.56683349609375
263770.5;-58.885009765625;-101.02892303466797
268766;-60.082424163818359;-113.70384216308594
273761.5;-59.281707763671875;-112.83263397216797
278757;-69.084091186523438;-115.17660522460937
283752.5;-70.207817077636719;-108.62944030761719
288748;-70.618316650390625;-115.91522979736328
293743.5;-65.585861206054688;-102.19669342041016
298739;-59.112007141113281;-92.989006042480469
303734.5;-60.276393890380859;-94.530899047851562
308730;-59.567611694335938;-103.88689422607422
313725.5;-64.173912048339844;-100.29245758056641
318721;-66.126220703125;-101.94612884521484
323716.5;-63.021224975585938;-107.56452941894531
328712;-65.256385803222656;-88.407928466796875
333707.5;-61.320732116699219;-91.762451171875
338703;-60.787830352783203;-90.869956970214844
343698.5;-64.170455932617188;-106.05326080322266
348694;-64.723907470703125;-108.65167999267578
353689.5;-69.420097351074219;-101.50471496582031
358685;-60.987533569335938;-88.680686950683594
363680.5;-63.775791168212891;-94.430679321289063
368676;-64.383781433105469;-99.629341125488281
373671.5;-62.653942108154297;-104.54148101806641
378667;-65.104057312011719;-101.99773406982422
383662.5;-69.562873840332031;-102.30328369140625
388658;-71.201980590820313;-98.983963012695312
393653.5;-64.821517944335938;-110.28892517089844
398649;-65.153793334960937;-101.58332061767578
403644.5;-65.594314575195312;-112.68965148925781
408640;-69.338722229003906;-102.2818603515625
413635.5;-69.582435607910156;-100.30948638916016
418631;-75.743736267089844;-103.13541412353516
423626.5;-75.3165283203125;-133.62451171875
428622;-71.004692077636719;-115.12953186035156
433617.5;-70.564582824707031;-102.175537109375
438613;-73.851310729980469;-99.844802856445313
443608.5;-73.398109436035156;-102.63108062744141
448604;-73.436279296875;-102.20729827880859
453599.5;-68.103225708007812;-104.54148101806641
458595;-71.734779357910156;-111.65479278564453
463590.5;-70.665374755859375;-110.58988189697266
468586;-64.935028076171875;-99.692626953125
473581.5;-65.882545471191406;-110.4517822265625
478577;-65.62884521484375;-93.735771179199219
483572.5;-63.583805084228516;-99.139007568359375
488568;-59.708919525146484;-95.022216796875
493563.5;-59.923049926757813;-104.51377868652344
498559;-60.720897674560547;-89.910064697265625
503554.5;-57.919864654541016;-88.274688720703125
508550;-56.48895263671875;-116.77914428710937
513545.5;-55.528095245361328;-95.843582153320313
518541;-58.635837554931641;-102.56452941894531
523536.5;-50.263336181640625;-96.499832153320312
528532;-48.951011657714844;-90.699134826660156
533527.5;-47.611701965332031;-80.327400207519531
538523;-47.332012176513672;-92.696746826171875
543518.5;-47.385536193847656;-105.80902862548828
548514;-45.442478179931641;-94.856849670410156
553509.5;-48.349411010742188;-92.054061889648438
558505;-51.196456909179688;-86.296058654785156
563500.5;-48.562057495117187;-90.235298156738281
568496;-52.458663940429688;-97.95684814453125
573491.5;-53.577743530273438;-93.208251953125
578487;-60.337749481201172;-87.848159790039063
583482.5;-60.995552062988281;-91.926498413085938
588478;-60.238693237304688;-108.96920776367187
593473.5;-63.417400360107422;-111.46798706054687
598469;-63.901840209960938;-116.01864624023437
603464.5;-62.526374816894531;-99.411407470703125
608460;-59.621856689453125;-109.01554107666016
613455.5;-66.278755187988281;-101.28260803222656
618451;-65.268745422363281;-109.39531707763672
623446.5;-61.256519317626953;-103.33839416503906
628442;-68.793815612792969;-97.138450622558594
633437.5;-64.9197998046875;-100.24156188964844
638433;-64.579734802246094;-98.438026428222656
643428.5;-64.796333312988281;-105.92214965820312
648424;-67.846328735351563;-99.23638916015625
653419.5;-71.012580871582031;-88.996971130371094
658415;-71.265541076660156;-105.27960968017578
663410.5;-68.217292785644531;-103.97744750976562
668406;-69.199554443359375;-104.41749572753906
673401.5;-66.460456848144531;-118.06149291992187
678397;-69.151535034179688;-108.00798797607422
683392.5;-67.961372375488281;-97.445571899414063
688388;-68.173126220703125;-112.20697784423828
693383.5;-74.332046508789063;-117.55040740966797
698379;-74.906135559082031;-113.08865356445312
703374.5;-72.273635864257813;-109.92037200927734
708370;-71.593948364257813;-98.6607666015625
713365.5;-68.863372802734375;-115.0361328125
718361;-73.187583923339844;-95.777565002441406
723356.5;-71.646934509277344;-105.77696990966797
728352;-74.421592712402344;-126.32157135009766
733347.5;-74.639381408691406;-107.06805419921875
738343;-72.9912109375;-117.99593353271484
743338.5;-71.121696472167969;-104.00348663330078
748334;-72.869468688964844;-114.67227172851562
753329.5;-69.977775573730469;-102.63108062744141
758325;-69.261688232421875;-98.167427062988281
763320.5;-71.242095947265625;-105.38600158691406
768316;-70.0711669921875;-106.95740509033203
773311.5;-70.078773498535156;-103.07661437988281
778307;-67.856689453125;-109.4439697265625
783302.5;-69.382217407226562;-91.77520751953125
788298;-68.932563781738281;-107.37020111083984
793293.5;-68.018745422363281;-103.08834075927734
798289;-67.260406494140625;-97.834182739257813
803284.5;-66.701553344726563;-105.23441314697266
808280;-65.005439758300781;-109.22711944580078
813275.5;-66.315780639648437;-106.11956024169922
818271;-66.219139099121094;-108.74122619628906
823266.5;-65.249008178710938;-101.88459777832031
828262;-64.098426818847656;-99.629341125488281
833257.5;-64.048606872558594;-101.72261810302734
838253;-63.763858795166016;-108.78634643554687
843248.5;-65.258796691894531;-95.637062072753906
848244;-60.321517944335938;-101.67261505126953
853239.5;-62.621177673339844;-104.79489898681641
858235;-64.70819091796875;-102.75444793701172
