Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;5004500.000000;Hz
Freq Offset;0.000000;Hz
Span;9991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;10000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;110.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
248784;-75.93634033203125;-104.26831817626953
253779.5;-73.069374084472656;-119.25901031494141
258775;-72.182533264160156;-120.56026458740234
263770.5;-72.722328186035156;-95.772514343261719
268766;-74.636276245117187;-102.61995697021484
273761.5;-71.904449462890625;-107.42804718017578
278757;-70.683929443359375;-96.034263610839844
283752.5;-74.17120361328125;-97.287651062011719
288748;-73.69110107421875;-117.99593353271484
293743.5;-72.790206909179688;-110.23530578613281
298739;-75.211624145507812;-109.22711944580078
303734.5;-74.773544311523438;-98.355964660644531
308730;-74.058006286621094;-106.66904449462891
313725.5;-75.403793334960937;-105.41664123535156
318721;-76.092811584472656;-107.21781158447266
323716.5;-76.011886596679688;-113.05160522460937
328712;-73.674407958984375;-113.23841094970703
333707.5;-75.029640197753906;-110.39716339111328
338703;-76.0797119140625;-103.12362670898437
343698.5;-73.857391357421875;-117.30571746826172
348694;-75.108909606933594;-106.52838134765625
353689.5;-75.620155334472656;-100.65732574462891
358685;-73.233512878417969;-113.54590606689453
363680.5;-75.359809875488281;-123.20652008056641
368676;-72.949462890625;-115.91522979736328
373671.5;-76.078147888183594;-118.53476715087891
378667;-74.592910766601563;-121.78300476074219
383662.5;-74.729934692382812;-111.62338256835937
388658;-73.007011413574219;-109.64138793945312
393653.5;-75.058006286621094;-114.94373321533203
398649;-75.344871520996094;-110.15550231933594
403644.5;-79.749984741210937;-104.12165832519531
408640;-73.904975891113281;-120.82754516601562
413635.5;-76.710159301757812;-106.90261077880859
418631;-73.461036682128906;-111.43724060058594
423626.5;-76.005653381347656;-108.21729278564453
428622;-76.451591491699219;-98.114303588867187
433617.5;-73.806846618652344;-112.72518157958984
438613;-75.825248718261719;-103.07661437988281
443608.5;-77.870162963867188;-106.05326080322266
448604;-77.369903564453125;-125.98745727539062
453599.5;-74.185096740722656;-107.14261627197266
458595;-76.967376708984375;-118.19409942626953
463590.5;-74.523452758789062;-111.10602569580078
468586;-74.442390441894531;-108.60725402832031
473581.5;-76.198898315429687;-113.01472473144531
478577;-76.214851379394531;-119.41139984130859
483572.5;-76.320823669433594;-113.23841094970703
488568;-78.569595336914063;-116.28266906738281
493563.5;-75.253433227539062;-116.6104736328125
498559;-73.218048095703125;-102.53143310546875
503554.5;-72.923568725585937;-121.78300476074219
508550;-75.03753662109375;-104.43118286132812
513545.5;-73.996795654296875;-103.88689422607422
518541;-77.701873779296875;-99.296867370605469
523536.5;-72.23687744140625;-110.53437805175781
528532;-73.002967834472656;-111.01784515380859
533527.5;-70.296455383300781;-108.13296508789062
538523;-68.966903686523438;-100.45561981201172
543518.5;-67.126907348632813;-101.42681884765625
548514;-70.643218994140625;-99.153915405273437
553509.5;-70.860771179199219;-105.88967895507812
558505;-72.51556396484375;-115.12953186035156
563500.5;-72.93304443359375;-102.75444793701172
568496;-74.426353454589844;-101.02892303466797
573491.5;-75.638565063476563;-109.4439697265625
578487;-77.221694946289062;-100.01615905761719
583482.5;-77.991371154785156;-127.80361175537109
588478;-76.138572692871094;-113.46800994873047
593473.5;-74.638496398925781;-104.93894195556641
598469;-79.81414794921875;-102.175537109375
603464.5;-75.168128967285156;-131.52981567382812
608460;-81.324653625488281;-102.77706909179687
613455.5;-75.783134460449219;-110.67380523681641
618451;-79.440673828125;-114.28036499023437
623446.5;-80.643135070800781;-111.9102783203125
628442;-77.227066040039063;-111.19511413574219
633437.5;-77.965957641601562;-118.67486572265625
638433;-75.58001708984375;-124.62513732910156
643428.5;-77.435775756835938;-104.95348358154297
648424;-78.487655639648438;-108.43177032470703
653419.5;-78.708839416503906;-110.9886474609375
658415;-77.813056945800781;-127.21781921386719
663410.5;-78.452484130859375;-113.58512115478516
668406;-78.204803466796875;-109.69145202636719
673401.5;-77.204376220703125;-121.10330963134766
678397;-80.878364562988281;-118.46556091308594
683392.5;-79.957839965820313;-122.97174835205078
688388;-80.812179565429687;-126.66905975341797
693383.5;-80.552375793457031;-112.90501403808594
698379;-82.228523254394531;-106.95740509033203
703374.5;-79.623825073242188;-121.10330963134766
708370;-77.410102844238281;-112.44496154785156
713365.5;-78.378456115722656;-115.76239776611328
718361;-79.965217590332031;-113.4293212890625
723356.5;-76.565498352050781;-113.90538024902344
728352;-79.865837097167969;-104.30875396728516
733347.5;-78.531303405761719;-109.4439697265625
738343;-79.174835205078125;-117.42720794677734
743338.5;-81.286415100097656;-110.12905883789063
748334;-82.296844482421875;-120.56026458740234
753329.5;-80.187599182128906;-112.30817413330078
758325;-78.749343872070313;-112.30817413330078
763320.5;-79.738006591796875;-118.26116943359375
768316;-79.804496765136719;-101.66265106201172
773311.5;-79.724449157714844;-116.07080841064453
778307;-78.972259521484375;-105.4473876953125
783302.5;-81.678596496582031;-105.97107696533203
788298;-79.555572509765625;-108.28108215332031
793293.5;-78.49456787109375;-110.39716339111328
798289;-82.9891357421875;-118.88934326171875
803284.5;-80.5147705078125;-117.67538452148437
808280;-80.583106994628906;-112.61903381347656
813275.5;-82.68133544921875;-102.67574310302734
818271;-80.832077026367188;-109.94618225097656
823266.5;-81.16705322265625;-118.96202850341797
828262;-77.565315246582031;-118.12754058837891
833257.5;-82.031967163085938;-117.73855590820312
838253;-81.823493957519531;-112.47949981689453
843248.5;-78.977378845214844;-119.56651306152344
848244;-78.352561950683594;-105.02653503417969
853239.5;-81.285469055175781;-123.44780731201172
